date,hours worked,employee id,job group
1/1/2017,11,1,A
2/1/2017,2,2,B
3/1/2017,6,2,B
1/1/2018,11,3,A
2/1/2018,6,3,A
3/1/2018,8,3,A
1/1/2019,9,3,A
2/1/2019,1,2,B
3/1/2019,4,2,B
1/1/2020,1,5,B
2/1/2020,5,1,A
3/1/2020,12,1,A
1/1/2021,5,4,B
2/1/2021,5,4,B
3/1/2021,5,1,A
1/1/2022,10,1,A
2/1/2022,4,2,B
3/1/2022,4,2,B
1/1/2023,11.5,3,A
2/1/2023,11,4,B
3/1/2023,3,3,A
1/1/2024,6,3,A
2/1/2024,12,2,B
3/1/2024,11,3,B
1/1/2025,5,4,B
2/1/2025,7,1,A
3/1/2025,5,1,A
1/1/2026,5,5,B
2/1/2026,9,5,B
3/1/2026,5,5,B
1/1/2027,5,5,B